国名（日本語）,code3,輸出1位_品目,輸出2位_品目,輸出3位_品目,輸出4位_品目,輸出5位_品目,輸出6位_品目,輸出7位_品目,輸出8位_品目,輸出9位_品目,輸出10位_品目,輸入1位_品目,輸入2位_品目,輸入3位_品目,輸入4位_品目,輸入5位_品目,輸入6位_品目,輸入7位_品目,輸入8位_品目,輸入9位_品目,輸入10位_品目,貿易相手1位_国名,貿易相手1位_シェア%,貿易相手2位_国名,貿易相手2位_シェア%,貿易相手3位_国名,貿易相手3位_シェア%,貿易相手4位_国名,貿易相手4位_シェア%,貿易相手5位_国名,貿易相手5位_シェア%,貿易相手6位_国名,貿易相手6位_シェア%,貿易相手7位_国名,貿易相手7位_シェア%,貿易相手8位_国名,貿易相手8位_シェア%,貿易相手9位_国名,貿易相手9位_シェア%,貿易相手10位_国名,貿易相手10位_シェア%,貿易統計_年,貿易統計_出典
アルバニア,ALB,鉱物燃料・エネルギー（原油・石炭等）,履物・ゲートル同製品,衣類・衣類付属品（織物）,鉄鋼,電気機器・録音機・テレビ等,衣類・衣類付属品（編物）,鉱石・スラグ・灰,食用の野菜・根菜,アルミニウム・同製品,鉄鋼製品,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉄鋼,プラスチック・同製品,医薬品,飲料・アルコール・酢,鉄鋼製品,衣類・衣類付属品（織物）,イタリア,39.0%,コソボ,15.8%,ドイツ,7.6%,ギリシャ,6.1%,スペイン,4.1%,セルビア,2.9%,中国,2.6%,Montenegro,2.4%,"North Macedonia, Republic of",2.3%,スロバキア,1.8%,2024,UN Comtrade / IMF DOTS (2024年)
アルジェリア,DZA,鉱物燃料・エネルギー（原油・石炭等）,肥料,鉄鋼,無機化学品・貴金属化合物,塩・硫黄・土石類・セメント,果実・ナッツ,糖類・砂糖菓子,一般機械・原子炉・ボイラー等,ガラス・同製品,紙・板紙・製品,一般機械・原子炉・ボイラー等,穀物,電気機器・録音機・テレビ等,プラスチック・同製品,自動車・同部品,医薬品,鉄鋼,酪農品・鳥卵・蜂蜜,鉄鋼製品,糖類・砂糖菓子,イタリア,26.6%,フランス,11.9%,スペイン,11.0%,中国,7.6%,アメリカ,5.7%,トルコ,5.4%,韓国,3.9%,チュニジア,3.9%,オランダ,3.5%,イギリス,3.2%,2024,UN Comtrade / IMF DOTS (2024年)
アンゴラ,AGO,鉱物燃料・エネルギー（原油・石炭等）,船舶・浮体構造物,真珠・貴金属・宝石・装飾品,一般機械・原子炉・ボイラー等,鉄鋼,航空機・宇宙船・同部品,光学機器・写真用機器・医療用機器,塩・硫黄・土石類・セメント,鉄鋼製品,魚介類・甲殻類,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,鉄鋼製品,電気機器・録音機・テレビ等,自動車・同部品,穀物,プラスチック・同製品,光学機器・写真用機器・医療用機器,肉・食用屑,動物性・植物性油脂,中国,51.3%,インド,10.3%,オランダ,6.4%,スペイン,5.3%,フランス,3.1%,アラブ首長国連邦,3.0%,アメリカ,2.8%,カナダ,2.7%,ポルトガル,2.6%,マレーシア,2.2%,2024,UN Comtrade / IMF DOTS (2024年)
アンティグア・バーブーダ,ATG,鉱物燃料・エネルギー（原油・石炭等）,魚介類・甲殻類,電気機器・録音機・テレビ等,飲料・アルコール・酢,一般機械・原子炉・ボイラー等,衣類・衣類付属品（織物）,鉄鋼製品,自動車・同部品,他の紡織用繊維 of products (セット・古衣類),各種調製食料品,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,家具・寝具・照明器具・プレハブ建築,飲料・アルコール・酢,肉・食用屑,プラスチック・同製品,木材・木製品・木炭,鉄鋼製品,各種調製食料品,ポーランド,43.2%,イタリア,20.1%,アメリカ,5.1%,イギリス,3.7%,シントマールテン,3.6%,St. Kitts and Nevis,3.1%,中国,2.9%,ギリシャ,2.6%,オランダ,1.9%,St. Lucia,1.5%,2024,UN Comtrade / IMF DOTS (2024年)
アゼルバイジャン,AZE,鉱物燃料・エネルギー（原油・石炭等）,果実・ナッツ,プラスチック・同製品,真珠・貴金属・宝石・装飾品,食用の野菜・根菜,アルミニウム・同製品,綿・綿織物,自動車・同部品,肥料,有機化学品,真珠・貴金属・宝石・装飾品,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,鉄鋼製品,プラスチック・同製品,鉄鋼,医薬品,木材・木製品・木炭,イタリア,44.0%,トルコ,12.1%,オランダ,6.7%,ロシア,4.8%,クロアチア,3.3%,ルーマニア,3.3%,ジョージア,2.9%,ギリシャ,2.8%,イスラエル,2.4%,ブルガリア,2.3%,2025,UN Comtrade / IMF DOTS (2025年)
アルゼンチン,ARG,特殊取扱品（その他）,穀物,鉱物燃料・エネルギー（原油・石炭等）,食品工業廃棄物・飼料,動物性・植物性油脂,自動車・同部品,採油用種子・果実・藁,肉・食用屑,真珠・貴金属・宝石・装飾品,魚介類・甲殻類,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,採油用種子・果実・藁,プラスチック・同製品,有機化学品,医薬品,光学機器・写真用機器・医療用機器,肥料,ブラジル,15.1%,中国,11.4%,アメリカ,9.6%,チリ,7.4%,インド,6.4%,ベトナム,3.2%,ペルー,3.0%,オランダ,2.4%,スイス,2.4%,ウルグアイ,2.3%,2025,UN Comtrade / IMF DOTS (2025年)
オーストラリア,AUS,鉱物燃料・エネルギー（原油・石炭等）,鉱石・スラグ・灰,真珠・貴金属・宝石・装飾品,肉・食用屑,穀物,無機化学品・貴金属化合物,一般機械・原子炉・ボイラー等,アルミニウム・同製品,銅・同製品,特殊取扱品（その他）,一般機械・原子炉・ボイラー等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,真珠・貴金属・宝石・装飾品,医薬品,光学機器・写真用機器・医療用機器,プラスチック・同製品,鉄鋼製品,家具・寝具・照明器具・プレハブ建築,中国,34.3%,日本,11.8%,韓国,7.9%,アメリカ,7.8%,イギリス,4.2%,インド,4.0%,台湾,3.0%,シンガポール,2.8%,香港,2.6%,ニュージーランド,2.6%,2025,UN Comtrade / IMF DOTS (2025年)
オーストリア,AUT,一般機械・原子炉・ボイラー等,医薬品,自動車・同部品,電気機器・録音機・テレビ等,プラスチック・同製品,鉄鋼,鉄鋼製品,光学機器・写真用機器・医療用機器,鉱物燃料・エネルギー（原油・石炭等）,木材・木製品・木炭,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,医薬品,プラスチック・同製品,光学機器・写真用機器・医療用機器,鉄鋼製品,アルミニウム・同製品,鉄鋼,ドイツ,29.2%,アメリカ,6.6%,イタリア,6.5%,スイス,5.3%,スロバキア,4.2%,ポーランド,3.9%,チェコ,3.7%,ハンガリー,3.6%,フランス,3.5%,イギリス,2.7%,2024,UN Comtrade / IMF DOTS (2024年)
バハマ,BHS,鉱物燃料・エネルギー（原油・石炭等）,書籍・新聞・絵画・印刷物,魚介類・甲殻類,船舶・浮体構造物,プラスチック・同製品,真珠・貴金属・宝石・装飾品,塩・硫黄・土石類・セメント,有機化学品,玩具・遊戯具・運動用具・同部品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,美術品・収集品・骨とう,鉄鋼製品,家具・寝具・照明器具・プレハブ建築,プラスチック・同製品,肉・食用屑,飲料・アルコール・酢,Zimbabwe,60.2%,アメリカ,31.5%,Libya,2.8%,イギリス,1.3%,Seychelles,1.0%,アイルランド,0.7%,アルジェリア,0.7%,ジョージア,0.4%,フランス,0.3%,インド,0.2%,2024,UN Comtrade / IMF DOTS (2024年)
バーレーン,BHR,アルミニウム・同製品,鉱石・スラグ・灰,一般機械・原子炉・ボイラー等,酪農品・鳥卵・蜂蜜,鉄鋼,自動車・同部品,鉄鋼製品,真珠・貴金属・宝石・装飾品,肥料,プラスチック・同製品,一般機械・原子炉・ボイラー等,鉱石・スラグ・灰,無機化学品・貴金属化合物,自動車・同部品,電気機器・録音機・テレビ等,真珠・貴金属・宝石・装飾品,医薬品,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,酪農品・鳥卵・蜂蜜,サウジアラビア,23.3%,アラブ首長国連邦,9.7%,アメリカ,9.4%,オランダ,4.7%,カタール,4.0%,インド,4.0%,スペイン,3.5%,イタリア,3.4%,アルジェリア,3.0%,ギリシャ,2.8%,2024,UN Comtrade / IMF DOTS (2024年)
アルメニア,ARM,真珠・貴金属・宝石・装飾品,電気機器・録音機・テレビ等,鉱石・スラグ・灰,たばこ・製造たばこ代用品,飲料・アルコール・酢,一般機械・原子炉・ボイラー等,衣類・衣類付属品（織物）,鉄鋼,光学機器・写真用機器・医療用機器,衣類・衣類付属品（編物）,真珠・貴金属・宝石・装飾品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,光学機器・写真用機器・医療用機器,プラスチック・同製品,医薬品,鉄鋼,衣類・衣類付属品（織物）,ロシア,35.4%,アラブ首長国連邦,24.6%,中国,9.1%,香港,6.4%,イラク,4.0%,ベラルーシ,1.9%,スイス,1.9%,オランダ,1.7%,ベルギー,1.6%,ジョージア,1.6%,2024,UN Comtrade / IMF DOTS (2024年)
バルバドス,BRB,鉱物燃料・エネルギー（原油・石炭等）,飲料・アルコール・酢,医薬品,穀物・粉製品・製菓,紙・板紙・製品,真珠・貴金属・宝石・装飾品,動物性・植物性油脂,鉄鋼,各種化学工業生産品,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,プラスチック・同製品,家具・寝具・照明器具・プレハブ建築,飲料・アルコール・酢,鉄鋼製品,医薬品,各種調製食料品,アメリカ,19.6%,イギリス,19.0%,Jamaica,8.5%,Trinidad and Tobago,7.6%,St. Lucia,6.7%,Guyana,4.6%,フランス,4.3%,St. Vincent and the Grenadines,4.2%,Grenada,4.1%,Antigua and Barbuda,3.5%,2025,UN Comtrade / IMF DOTS (2025年)
ベルギー,BEL,医薬品,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,プラスチック・同製品,鉄鋼,電気機器・録音機・テレビ等,有機化学品,真珠・貴金属・宝石・装飾品,光学機器・写真用機器・医療用機器,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,医薬品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,有機化学品,プラスチック・同製品,光学機器・写真用機器・医療用機器,真珠・貴金属・宝石・装飾品,鉄鋼,ドイツ,19.2%,フランス,13.1%,オランダ,13.1%,アメリカ,6.4%,イギリス,5.5%,イタリア,5.2%,スペイン,3.8%,ポーランド,3.1%,スウェーデン,1.9%,中国,1.6%,2024,UN Comtrade / IMF DOTS (2024年)
